book,release,institution_id,class_id,student_id,response,construct,chapter_number,EOC,n_possible,n_correct,n_attempt
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,10,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,11,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,12,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Cost,2,0.611764705882353,85,52,131
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Cost,3,0.6886792452830188,106,73,149
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,4,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,1,Cost,5,0.765625,64,49,92
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,6,0.7578947368421053,95,72,125
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,7,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,2,Cost,8,0.463768115942029,69,32,82
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,9,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,10,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,11,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,12,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Expectancy,2,0.611764705882353,85,52,131
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Expectancy,3,0.6886792452830188,106,73,149
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,4,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Expectancy,5,0.765625,64,49,92
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Expectancy,6,0.7578947368421053,95,72,125
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,7,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Expectancy,8,0.463768115942029,69,32,82
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,9,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,10,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,11,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,12,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Intrinsic Value,2,0.611764705882353,85,52,131
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Intrinsic Value,3,0.6886792452830188,106,73,149
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,4,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Intrinsic Value,5,0.765625,64,49,92
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,6,Intrinsic Value,6,0.7578947368421053,95,72,125
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,7,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Intrinsic Value,8,0.463768115942029,69,32,82
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,9,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,10,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,11,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,12,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Utility Value,2,0.611764705882353,85,52,131
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,4,Utility Value,3,0.6886792452830188,106,73,149
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,4,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Utility Value,5,0.765625,64,49,92
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,6,Utility Value,6,0.7578947368421053,95,72,125
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,7,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,5,Utility Value,8,0.463768115942029,69,32,82
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,9,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Cost,13,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Utility Value,13,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Expectancy,13,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,988aaef5-55d8-4efd-a2aa-8a17e687965e,NA,Intrinsic Value,13,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,10,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,11,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,12,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,2,0.36046511627906974,86,31,121
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Cost,3,0.2653061224489796,98,26,126
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,4,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Cost,5,0.2459016393442623,61,15,86
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Cost,6,0.28,100,28,129
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,7,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,5,Cost,8,0.24675324675324675,77,19,94
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Cost,9,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Expectancy,10,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Expectancy,11,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Expectancy,12,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Expectancy,2,0.36046511627906974,86,31,121
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Expectancy,3,0.2653061224489796,98,26,126
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,NA,Expectancy,4,NA,NA,NA,NA
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Expectancy,5,0.2459016393442623,61,15,86
College / Statistics and Data Science (ABC),v5.0,04157183-8665-400a-925d-3bbb70ffe45e,afcb6b4e-a0c0-46ce-b38c-c96329c91471,bb3d0834-83be-4158-8d8e-6230178074a8,4,Expectancy,6,0.28,100,28,129
